user_id,selected_tags,selected_boards,selected_scene,filled_time
u_ext_00204,招聘|租房|实习,二手交易|实习就业|兼职实习,普通浏览,2026-05-28 12:51:57
u_ext_00206,科研|招聘|实习,实习就业|兼职实习,午餐时间,2026-05-10 12:51:57
u_ext_00209,竞赛|课程资料|社团,问答求助|学习交流|社团活动,晚间学习,2026-05-08 12:51:57
u_ext_00217,新生攻略|社团|校园生活,校园生活|食堂生活|社团活动,毕业季,2026-06-03 12:51:57
u_ext_00218,简历|就业|租房,二手交易|实习就业,毕业季,2026-05-09 12:51:57
u_ext_00219,招聘|实习|租房,二手交易|实习就业|兼职实习,开学季,2026-06-02 12:51:57
u_ext_00223,选课|社团|新生攻略,课程评价|社团活动,晚间学习,2026-05-15 12:51:57
u_ext_00230,实习|竞赛|考研,考研保研|竞赛科研|实习就业,开学季,2026-05-29 12:51:57
u_ext_00235,社团|竞赛|课程资料,问答求助|学习交流|社团活动,午餐时间,2026-05-16 12:51:57
u_ext_00236,二手交易|课程资料|竞赛,二手交易|问答求助|学习交流,毕业季,2026-05-19 12:51:57
u_ext_00242,课程资料|考研|竞赛,问答求助|学习交流|考研保研,毕业季,2026-05-10 12:51:57
u_ext_00244,考研|竞赛|课程资料,问答求助|学习交流|考研保研,开学季,2026-06-03 12:51:57
u_ext_00246,实习|科研|招聘,实习就业|兼职实习,晚间学习,2026-05-30 12:51:57
u_ext_00247,科研|就业|考研,考研保研|实习就业,午餐时间,2026-05-13 12:51:57
u_ext_00249,毕业|就业|租房,二手交易|实习就业,普通浏览,2026-05-16 12:51:57
u_ext_00253,毕业|课程资料|实习,问答求助|学习交流|实习就业,毕业季,2026-05-16 12:51:57
u_ext_00257,实习|新生攻略|社团,社团活动|实习就业|兼职实习,开学季,2026-05-23 12:51:57
u_ext_00259,毕业|就业|租房,二手交易|实习就业,考试周,2026-05-22 12:51:57
u_ext_00263,实习|科研|招聘,实习就业|兼职实习,考试周,2026-05-15 12:51:57
u_ext_00274,实习|招聘|租房,二手交易|实习就业|兼职实习,开学季,2026-05-29 12:51:57
u_ext_00279,选课|新生攻略|校园生活,校园生活|课程评价|食堂生活,午餐时间,2026-06-03 12:51:57
u_ext_00283,实习|租房|招聘,二手交易|实习就业|兼职实习,毕业季,2026-05-04 12:51:57
u_ext_00290,社团|兼职|租房,二手交易|社团活动|兼职实习,开学季,2026-05-18 12:51:57
u_ext_00297,二手交易|就业|毕业,二手交易|实习就业,午餐时间,2026-05-08 12:51:57
u_ext_00299,社团|简历|兼职,社团活动|实习就业|兼职实习,考试周,2026-05-15 12:51:57
u_ext_00312,二手交易|社团|兼职,二手交易|社团活动|兼职实习,毕业季,2026-05-31 12:51:57
u_ext_00313,实习|租房|科研,二手交易|实习就业|兼职实习,午餐时间,2026-05-14 12:51:57
u_ext_00323,校园生活|选课|新生攻略,校园生活|课程评价|食堂生活,晚间学习,2026-06-03 12:51:57
u_ext_00328,竞赛|考研|编程,考研保研|竞赛科研,考试周,2026-05-16 12:51:57
u_ext_00336,租房|科研|实习,二手交易|实习就业|兼职实习,毕业季,2026-05-10 12:51:57
u_ext_00343,竞赛|实习|考研,考研保研|竞赛科研|实习就业,开学季,2026-05-28 12:51:57
u_ext_00344,租房|毕业|编程,二手交易,开学季,2026-05-26 12:51:57
u_ext_00363,考研|就业|毕业,考研保研|实习就业,晚间学习,2026-05-15 12:51:57
u_ext_00375,实习|科研|招聘,实习就业|兼职实习,午餐时间,2026-05-13 12:51:57
u_ext_00385,就业|毕业|租房,二手交易|实习就业,开学季,2026-05-07 12:51:57
u_ext_00386,兼职|新生攻略|社团,社团活动|兼职实习,晚间学习,2026-05-21 12:51:57
u_ext_00391,就业|毕业|二手交易,二手交易|实习就业,晚间学习,2026-05-25 12:51:57
u_ext_00394,课程资料|科研|考研,问答求助|学习交流|考研保研,晚间学习,2026-05-08 12:51:57
u_ext_00400,课程资料|社团|二手交易,二手交易|问答求助|学习交流,午餐时间,2026-05-08 12:51:57
u_ext_00404,科研|招聘|租房,二手交易|实习就业|兼职实习,考试周,2026-05-20 12:51:57
u_ext_00405,保研|实习|考研,考研保研|实习就业|兼职实习,晚间学习,2026-06-01 12:51:57
u_ext_00409,校园生活|社团|实习,校园生活|食堂生活|社团活动,开学季,2026-05-20 12:51:57
u_ext_00410,毕业|社团|就业,社团活动|实习就业,午餐时间,2026-05-21 12:51:57
u_ext_00418,租房|简历|社团,二手交易|社团活动|实习就业,午餐时间,2026-05-18 12:51:57
u_ext_00423,实习|科研|租房,二手交易|实习就业|兼职实习,毕业季,2026-05-28 12:51:57
u_ext_00428,二手交易|就业|租房,二手交易|实习就业,考试周,2026-05-18 12:51:57
u_ext_00429,租房|实习|科研,二手交易|实习就业|兼职实习,开学季,2026-05-16 12:51:57
u_ext_00437,保研|考研|实习,考研保研|实习就业|兼职实习,开学季,2026-05-14 12:51:57
u_ext_00441,招聘|科研|租房,二手交易|实习就业|兼职实习,普通浏览,2026-05-23 12:51:57
u_ext_00446,社团|校园生活|就业,校园生活|食堂生活|社团活动,考试周,2026-05-30 12:51:57
u_ext_00448,毕业|就业|租房,二手交易|实习就业,午餐时间,2026-05-19 12:51:57
u_ext_00460,科研|租房|招聘,二手交易|实习就业|兼职实习,晚间学习,2026-05-16 12:51:57
u_ext_00479,课程资料|科研|招聘,问答求助|学习交流|实习就业,午餐时间,2026-05-14 12:51:57
u_ext_00480,实习|租房|招聘,二手交易|实习就业|兼职实习,晚间学习,2026-05-05 12:51:57
u_ext_00486,租房|招聘|实习,二手交易|实习就业|兼职实习,开学季,2026-05-30 12:51:57
u_ext_00487,社团|选课|校园生活,校园生活|课程评价|食堂生活,普通浏览,2026-06-03 12:51:57
u_ext_00489,租房|二手交易|毕业,二手交易,开学季,2026-05-23 12:51:57
u_ext_00499,科研|社团|实习,社团活动|实习就业|兼职实习,晚间学习,2026-05-26 12:51:57
u_ext_00500,新生攻略|社团|校园生活,校园生活|食堂生活|社团活动,晚间学习,2026-05-20 12:51:57
