post_id,view_count,like_count,comment_count,collect_count,dislike_count,hot_val,hot_rank,hot_score,final_hot_score,quality_score,update_time
2101575959,264,0,1,2,0,0.0,50,53.5,48.0912,0.0038,2026-06-03 12:51:57
2101604866,246,3,5,0,0,0.0,51,51.6,47.7546,0.0104,2026-06-03 12:51:57
2101586135,257,0,1,0,0,0.0,52,51.7,46.9421,0.0012,2026-06-03 12:51:57
p_ext_000176,13370,1680,1011,1027,163,3686.7,53,3686.7,46.606,0.0911,2026-06-03 12:51:57
p_ext_001499,4204,55,75,42,72,888.2,54,888.2,46.3476,0.01,2026-06-03 12:51:57
2101562016,243,0,11,0,0,0.0,55,51.9,45.9361,0.0136,2026-06-03 12:51:57
2101523410,261,9,2,0,0,0.0,56,55.5,45.4878,0.0144,2026-06-03 12:51:57
2101560280,246,0,4,0,0,0.0,57,50.4,44.4991,0.0049,2026-06-03 12:51:57
p_ext_000569,8761,787,631,95,61,2196.6,58,2196.6,44.2411,0.0555,2026-06-03 12:51:57
p_ext_001821,2826,348,220,44,15,744.4,59,744.4,43.9246,0.0708,2026-06-03 12:51:57
2101535657,247,2,4,2,0,0.0,60,51.6,43.7609,0.0105,2026-06-03 12:51:57
2101569969,213,3,17,0,0,0.0,61,48.6,43.4156,0.0289,2026-06-03 12:51:57
p_ext_001721,14529,823,658,1071,161,3564.3,62,3564.3,43.0684,0.057,2026-06-03 12:51:57
p_ext_001524,2054,341,242,21,30,589.9,63,589.9,42.2678,0.0941,2026-06-03 12:51:57
2101608154,226,1,0,0,0,0.0,64,45.5,42.2177,0.0015,2026-06-03 12:51:57
p_ext_001352,493,78,31,35,3,138.3,65,138.3,41.8826,0.0979,2026-06-03 12:51:57
p_ext_001103,1165,176,77,90,17,326.9,66,326.9,41.6986,0.0968,2026-06-03 12:51:57
p_ext_000686,4248,143,149,174,21,972.0,67,972.0,41.5323,0.0357,2026-06-03 12:51:57
2101543105,224,4,4,1,0,0.0,68,47.4,40.7753,0.0132,2026-06-03 12:51:57
p_ext_000435,3549,600,176,105,69,963.6,69,963.6,40.6427,0.0805,2026-06-03 12:51:57
p_ext_001121,658,90,24,39,6,173.6,70,173.6,40.3525,0.0777,2026-06-03 12:51:57
2101557408,221,1,3,0,0,0.0,71,45.4,39.9376,0.0057,2026-06-03 12:51:57
2101525731,241,0,0,0,0,0.0,72,48.2,39.9136,0.0,2026-06-03 12:51:57
p_ext_001417,796,77,8,16,12,187.9,73,187.9,39.7847,0.0409,2026-06-03 12:51:57
2101581383,207,3,4,1,0,0.0,74,43.7,39.5039,0.0126,2026-06-03 12:51:57
2101569317,214,0,3,0,0,0.0,75,43.7,39.0141,0.0042,2026-06-03 12:51:57
p_ext_001736,6354,494,498,318,71,1632.0,76,1632.0,38.9415,0.066,2026-06-03 12:51:57
2101610306,201,4,0,1,0,0.0,77,41.6,38.6988,0.0087,2026-06-03 12:51:57
2101589825,209,0,2,0,0,0.0,78,42.4,38.6441,0.0029,2026-06-03 12:51:57
p_ext_001130,734,23,58,29,13,176.9,79,176.9,38.1856,0.045,2026-06-03 12:51:57
2101524050,228,0,2,0,0,0.0,80,46.2,37.9953,0.0026,2026-06-03 12:51:57
p_ext_001243,335,9,8,10,6,74.1,81,74.1,37.9864,0.0234,2026-06-03 12:51:57
p_ext_001429,817,128,13,45,2,214.7,82,214.7,37.9627,0.0784,2026-06-03 12:51:57
2101566293,210,0,0,1,0,0.0,83,42.2,37.5353,0.0017,2026-06-03 12:51:57
p_ext_000851,484,33,45,32,6,126.6,84,126.6,37.0461,0.0724,2026-06-03 12:51:57
p_ext_001571,733,86,78,54,5,206.6,85,206.6,36.0961,0.0974,2026-06-03 12:51:57
2101613371,187,0,1,0,0,0.0,86,37.7,35.1616,0.0016,2026-06-03 12:51:57
p_ext_001451,10778,1217,717,147,159,2765.2,87,2765.2,34.719,0.0613,2026-06-03 12:51:57
2101541641,196,3,0,0,0,0.0,88,40.1,34.4133,0.0054,2026-06-03 12:51:57
p_ext_000751,1547,185,38,23,6,380.9,89,380.9,34.354,0.0537,2026-06-03 12:51:57
p_ext_000584,562,20,40,2,0,130.8,90,130.8,34.1713,0.0351,2026-06-03 12:51:57
p_ext_000232,18763,3297,1495,185,306,5227.2,91,5227.2,34.0174,0.0856,2026-06-03 12:51:57
2101602365,176,1,2,1,0,0.0,92,36.3,33.5087,0.0074,2026-06-03 12:51:57
p_ext_001676,1036,152,50,80,7,283.8,93,283.8,32.442,0.0915,2026-06-03 12:51:57
p_ext_000952,298,27,8,14,3,72.9,94,72.9,32.1618,0.0542,2026-06-03 12:51:57
p_ext_001904,523,44,26,14,0,128.4,95,128.4,31.9116,0.0537,2026-06-03 12:51:57
p_ext_001594,1571,15,141,83,30,377.6,96,377.6,31.4612,0.0449,2026-06-03 12:51:57
2101600478,164,0,2,1,0,0.0,97,33.6,30.9567,0.0058,2026-06-03 12:51:57
p_ext_000903,516,87,59,19,7,150.8,98,150.8,30.4049,0.1035,2026-06-03 12:51:57
2101576983,159,1,5,0,0,0.0,99,33.6,30.2408,0.0116,2026-06-03 12:51:57
p_ext_000493,2159,177,153,108,31,552.4,100,552.4,29.9675,0.0646,2026-06-03 12:51:57
p_ext_000213,533,39,26,3,3,126.7,101,126.7,29.6086,0.0411,2026-06-03 12:51:57
p_ext_000276,17456,2972,886,628,63,4774.2,102,4774.2,29.5205,0.0867,2026-06-03 12:51:57
2101570789,159,0,3,1,0,0.0,103,32.9,29.4086,0.0079,2026-06-03 12:51:57
p_ext_000945,231,37,1,14,3,60.4,104,60.4,29.2258,0.076,2026-06-03 12:51:57
p_ext_001554,241,7,23,16,0,60.4,105,60.4,28.8765,0.062,2026-06-03 12:51:57
p_ext_001374,567,99,47,20,6,161.2,106,161.2,28.7074,0.0962,2026-06-03 12:51:57
p_ext_000108,643,103,45,40,8,181.0,107,181.0,28.4697,0.0963,2026-06-03 12:51:57
p_ext_000969,3392,473,110,90,46,871.3,108,871.3,27.9014,0.0651,2026-06-03 12:51:57
p_ext_000636,15260,2425,624,553,211,4077.3,109,4077.3,27.5699,0.0778,2026-06-03 12:51:57
p_ext_000870,392,66,15,2,2,103.1,110,103.1,27.5035,0.0712,2026-06-03 12:51:57
2101607441,145,0,0,1,0,0.0,111,29.2,27.0761,0.0024,2026-06-03 12:51:57
2101517403,180,2,2,1,0,0.0,112,37.4,26.5176,0.0092,2026-06-03 12:51:57
2101534204,154,0,0,0,0,0.0,113,30.8,26.0441,0.0,2026-06-03 12:51:57
p_ext_000713,12649,2235,282,941,98,3473.1,114,3473.1,25.9285,0.093,2026-06-03 12:51:57
2101572645,137,0,2,0,0,0.0,115,28.0,25.0753,0.0044,2026-06-03 12:51:57
p_ext_001511,2004,57,170,101,20,489.1,116,489.1,25.0232,0.051,2026-06-03 12:51:57
p_ext_000746,6112,870,490,18,33,1634.0,117,1634.0,25.0105,0.0738,2026-06-03 12:51:57
p_ext_000866,1172,153,34,64,2,303.3,118,303.3,24.9558,0.0732,2026-06-03 12:51:57
p_ext_001842,493,9,40,21,5,117.5,119,117.5,24.886,0.0436,2026-06-03 12:51:57
p_ext_001322,1255,153,56,17,0,317.1,120,317.1,24.584,0.0608,2026-06-03 12:51:57
p_ext_001791,5630,694,597,372,73,1587.7,121,1587.7,24.5281,0.0955,2026-06-03 12:51:57
p_ext_000138,730,113,81,11,4,206.4,122,206.4,24.396,0.0916,2026-06-03 12:51:57
2101580743,132,1,1,0,0,0.0,123,27.0,24.3769,0.0049,2026-06-03 12:51:57
p_ext_001186,14125,1918,535,299,53,3620.7,124,3620.7,24.3762,0.0655,2026-06-03 12:51:57
p_ext_000505,6882,863,790,319,86,1936.1,125,1936.1,24.3733,0.0921,2026-06-03 12:51:57
p_ext_000228,329,49,19,11,3,88.4,126,88.4,24.2469,0.0793,2026-06-03 12:51:57
2101597153,129,0,2,0,0,0.0,127,26.4,24.2456,0.0047,2026-06-03 12:51:57
2101531847,142,0,0,0,0,0.0,128,28.4,23.9024,0.0,2026-06-03 12:51:57
p_ext_001272,2459,253,124,65,2,617.9,129,617.9,23.8552,0.0602,2026-06-03 12:51:57
2101556932,134,0,1,0,0,0.0,130,27.1,23.8248,0.0022,2026-06-03 12:51:57
p_ext_000990,2000,301,239,41,19,570.2,131,570.2,23.7391,0.0938,2026-06-03 12:51:57
p_ext_001450,1523,201,15,88,4,387.0,132,387.0,23.5656,0.0688,2026-06-03 12:51:57
p_ext_001549,1012,25,52,40,0,233.5,133,233.5,23.0601,0.0379,2026-06-03 12:51:57
p_ext_000999,13989,400,1454,1107,76,3575.4,134,3575.4,22.926,0.0678,2026-06-03 12:51:57
p_ext_001619,122,20,1,1,1,30.9,135,30.9,22.8889,0.0611,2026-06-03 12:51:57
p_ext_001308,3087,80,186,164,4,730.0,136,730.0,22.8875,0.0455,2026-06-03 12:51:57
2101621570,120,0,1,0,0,0.0,137,24.3,22.8414,0.0025,2026-06-03 12:51:57
p_ext_001354,1840,151,130,120,16,476.3,138,476.3,22.7133,0.071,2026-06-03 12:51:57
2101545311,127,1,1,0,0,0.0,139,26.0,22.4466,0.0051,2026-06-03 12:51:57
p_ext_001912,206,15,12,11,2,51.5,140,51.5,22.4251,0.0597,2026-06-03 12:51:57
p_ext_000678,102,13,4,7,1,26.9,141,26.9,22.4037,0.0784,2026-06-03 12:51:57
p_ext_001805,641,55,3,4,6,146.4,142,146.4,22.3417,0.0317,2026-06-03 12:51:57
2101519051,139,6,1,3,0,0.0,143,30.5,22.3289,0.0248,2026-06-03 12:51:57
2101559833,126,0,0,0,0,0.0,144,25.2,22.2359,0.0,2026-06-03 12:51:57
p_ext_000736,16948,1067,863,194,314,4007.4,145,4007.4,22.1359,0.0376,2026-06-03 12:51:57
p_ext_000591,2669,61,120,181,38,624.3,146,624.3,21.9706,0.0424,2026-06-03 12:51:57
p_ext_001781,1577,102,97,21,13,379.3,147,379.3,21.6117,0.0441,2026-06-03 12:51:57
p_ext_001982,6597,998,284,357,125,1775.4,148,1775.4,21.4059,0.081,2026-06-03 12:51:57
p_ext_001622,9402,225,207,393,36,2088.6,149,2088.6,20.7131,0.0288,2026-06-03 12:51:57
p_ext_001203,685,17,59,52,6,170.2,150,170.2,20.6199,0.0593,2026-06-03 12:51:57
p_ext_000940,848,131,68,26,7,234.5,151,234.5,20.1865,0.0872,2026-06-03 12:51:57
p_ext_001606,4266,197,61,191,26,968.8,152,968.8,20.0231,0.0349,2026-06-03 12:51:57
2101606621,103,0,3,0,0,0.0,153,21.5,19.9234,0.0087,2026-06-03 12:51:57
2101521276,120,0,0,4,0,0.0,154,24.8,19.8515,0.0117,2026-06-03 12:51:57
2101629214,103,0,0,0,0,0.0,155,20.6,19.5164,0.0,2026-06-03 12:51:57
p_ext_000644,213,36,5,15,1,57.9,156,57.9,19.0009,0.0899,2026-06-03 12:51:57
p_ext_000595,575,8,21,4,1,124.5,157,124.5,18.9394,0.0179,2026-06-03 12:51:57
p_ext_000966,3250,503,220,98,38,886.5,158,886.5,18.8283,0.0827,2026-06-03 12:51:57
p_ext_000973,8838,344,681,605,166,2196.1,159,2196.1,18.4326,0.0569,2026-06-03 12:51:57
p_ext_001934,718,90,75,21,2,197.3,160,197.3,18.3725,0.0849,2026-06-03 12:51:57
p_ext_001154,374,10,39,4,6,90.3,161,90.3,17.8199,0.0412,2026-06-03 12:51:57
2101623364,91,0,2,0,0,0.0,162,18.8,17.7062,0.0066,2026-06-03 12:51:57
p_ext_000769,1012,14,81,60,7,242.9,163,242.9,17.6958,0.0482,2026-06-03 12:51:57
p_ext_001634,3954,226,85,197,18,923.5,164,923.5,17.5508,0.043,2026-06-03 12:51:57
2101519846,96,5,7,0,0,0.0,165,22.8,17.2986,0.0401,2026-06-03 12:51:57
p_ext_000790,4154,724,197,147,16,1136.5,166,1136.5,17.1843,0.0868,2026-06-03 12:51:57
2101567503,93,1,1,0,0,0.0,167,19.2,17.0988,0.007,2026-06-03 12:51:57
2101614176,90,0,1,0,0,0.0,168,18.3,17.0789,0.0033,2026-06-03 12:51:57
p_ext_000637,11523,1619,422,429,146,3002.7,169,3002.7,16.9743,0.0707,2026-06-03 12:51:57
p_ext_001393,514,88,42,2,3,142.2,170,142.2,16.87,0.0846,2026-06-03 12:51:57
p_ext_001902,254,21,19,5,3,63.8,171,63.8,16.8233,0.0559,2026-06-03 12:51:57
2101533358,98,0,0,0,0,0.0,172,19.6,16.5444,0.0,2026-06-03 12:51:57
2101536968,95,0,0,1,0,0.0,173,19.2,16.3312,0.0037,2026-06-03 12:51:57
p_ext_001494,1321,98,70,75,22,329.6,174,329.6,16.2231,0.0584,2026-06-03 12:51:57
2101518549,108,2,0,1,0,0.0,175,22.4,16.1607,0.0097,2026-06-03 12:51:57
2101539504,94,0,0,0,0,0.0,176,18.8,16.0764,0.0,2026-06-03 12:51:57
p_ext_000617,1076,165,97,2,13,294.2,177,294.2,15.9692,0.0789,2026-06-03 12:51:57
p_ext_000950,841,125,7,35,16,214.8,178,214.8,15.9316,0.0653,2026-06-03 12:51:57
2101514503,111,0,2,0,0,0.0,179,22.8,15.8078,0.0054,2026-06-03 12:51:57
p_ext_001049,4149,258,71,172,45,962.9,180,962.9,15.5793,0.0392,2026-06-03 12:51:57
2101539189,87,0,2,0,0,0.0,181,18.0,15.3832,0.0069,2026-06-03 12:51:57
p_ext_000297,533,39,55,27,7,140.2,182,140.2,15.3492,0.0717,2026-06-03 12:51:57
2101559269,84,0,1,0,0,0.0,183,17.1,15.0794,0.0036,2026-06-03 12:51:57
p_ext_000653,124,3,0,6,2,26.9,184,26.9,14.6063,0.0222,2026-06-03 12:51:57
p_ext_000660,781,89,33,23,0,197.4,185,197.4,14.572,0.0629,2026-06-03 12:51:57
p_ext_001935,3345,401,92,249,0,866.7,186,866.7,14.4365,0.0763,2026-06-03 12:51:57
2101600938,77,0,0,0,0,0.0,187,15.4,14.1976,0.0,2026-06-03 12:51:57
p_ext_001614,2086,25,73,149,32,476.4,188,476.4,14.0407,0.0366,2026-06-03 12:51:57
p_ext_000160,2777,96,79,185,54,644.9,189,644.9,13.9335,0.0401,2026-06-03 12:51:57
p_ext_001201,524,62,45,22,6,141.3,190,141.3,13.8266,0.0796,2026-06-03 12:51:57
p_ext_001190,344,20,15,16,6,82.5,191,82.5,13.7979,0.0462,2026-06-03 12:51:57
p_ext_000787,2780,103,210,193,5,688.5,192,688.5,13.7798,0.0596,2026-06-03 12:51:57
2101610652,74,0,0,0,0,0.0,193,14.8,13.7678,0.0,2026-06-03 12:51:57
p_ext_000449,250,6,2,7,4,53.8,194,53.8,13.6274,0.0174,2026-06-03 12:51:57
2101519045,83,5,1,1,0,0.0,195,18.6,13.617,0.0289,2026-06-03 12:51:57
2101585112,74,0,0,0,0,0.0,196,14.8,13.4295,0.0,2026-06-03 12:51:57
p_ext_000597,958,111,48,7,11,240.7,197,240.7,13.3913,0.0558,2026-06-03 12:51:57
p_ext_000334,610,99,24,48,4,168.5,198,168.5,13.3092,0.0948,2026-06-03 12:51:57
p_ext_000831,370,44,38,16,6,101.8,199,101.8,13.1638,0.0843,2026-06-03 12:51:57
p_ext_000640,8923,288,532,390,53,2108.6,200,2108.6,13.1451,0.0433,2026-06-03 12:51:57
p_ext_000395,2914,418,21,106,13,735.7,201,735.7,13.1447,0.0642,2026-06-03 12:51:57
p_ext_001616,1847,218,129,140,4,501.5,202,501.5,13.0883,0.0884,2026-06-03 12:51:57
p_ext_001303,900,102,94,68,11,252.4,203,252.4,13.0796,0.095,2026-06-03 12:51:57
p_ext_000141,525,78,41,1,7,140.9,204,140.9,13.0539,0.0734,2026-06-03 12:51:57
p_ext_000551,2866,332,211,226,22,781.3,205,781.3,13.0352,0.0887,2026-06-03 12:51:57
p_ext_000274,5612,728,623,138,73,1555.3,206,1555.3,13.0212,0.0847,2026-06-03 12:51:57
p_ext_000447,844,98,36,38,1,216.6,207,216.6,12.7485,0.069,2026-06-03 12:51:57
p_ext_001304,742,18,58,3,8,171.8,208,171.8,12.7044,0.0312,2026-06-03 12:51:57
2101629901,64,0,2,0,0,0.0,209,13.4,12.7035,0.0094,2026-06-03 12:51:57
2101549384,73,0,0,0,0,0.0,210,14.6,12.6883,0.0,2026-06-03 12:51:57
p_ext_000137,261,21,19,14,4,67.0,211,67.0,12.6415,0.0657,2026-06-03 12:51:57
p_ext_000349,475,11,8,32,6,107.1,212,107.1,12.5121,0.0342,2026-06-03 12:51:57
p_ext_000361,274,39,30,11,4,77.7,213,77.7,12.3633,0.0938,2026-06-03 12:51:57
p_ext_000579,6053,703,384,326,78,1601.9,214,1601.9,12.3216,0.076,2026-06-03 12:51:57
p_ext_001706,5353,253,168,87,31,1214.3,215,1214.3,12.3057,0.0305,2026-06-03 12:51:57
p_ext_000582,3382,77,178,50,44,762.9,216,762.9,12.2426,0.0263,2026-06-03 12:51:57
p_ext_000183,1445,170,159,24,26,392.5,217,392.5,12.1121,0.0764,2026-06-03 12:51:57
p_ext_000947,359,30,24,26,6,93.2,218,93.2,12.0442,0.0713,2026-06-03 12:51:57
p_ext_001106,171,23,11,10,1,46.4,219,46.4,12.0259,0.0857,2026-06-03 12:51:57
2101540021,67,0,2,0,0,0.0,220,14.0,11.9789,0.009,2026-06-03 12:51:57
p_ext_001517,404,11,22,8,4,92.3,221,92.3,11.8418,0.0308,2026-06-03 12:51:57
2101601867,61,2,0,0,0,0.0,222,12.8,11.8082,0.0115,2026-06-03 12:51:57
p_ext_001073,195,12,12,12,1,48.6,223,48.6,11.7997,0.0605,2026-06-03 12:51:57
p_ext_000880,434,12,37,30,2,107.5,224,107.5,11.7961,0.0585,2026-06-03 12:51:57
p_ext_000735,1897,194,184,9,36,494.6,225,494.6,11.6854,0.0628,2026-06-03 12:51:57
p_ext_001747,295,18,25,1,0,72.1,226,72.1,11.6512,0.048,2026-06-03 12:51:57
p_ext_000628,581,71,47,35,5,158.6,227,158.6,11.4587,0.0864,2026-06-03 12:51:57
p_ext_001081,96,5,6,1,0,22.7,228,22.7,11.2912,0.0406,2026-06-03 12:51:57
p_ext_000904,501,52,46,10,1,131.6,229,131.6,11.1211,0.0705,2026-06-03 12:51:57
p_ext_001361,897,79,100,56,11,244.3,230,244.3,11.0007,0.0837,2026-06-03 12:51:57
p_ext_001416,2909,118,193,203,39,715.7,231,715.7,11.0003,0.0558,2026-06-03 12:51:57
p_ext_001685,3177,499,74,155,24,838.3,232,838.3,10.9962,0.0775,2026-06-03 12:51:57
p_ext_001057,1789,168,154,124,25,479.2,233,479.2,10.9807,0.0802,2026-06-03 12:51:57
p_ext_001424,293,45,33,16,0,85.2,234,85.2,10.9798,0.1067,2026-06-03 12:51:57
p_ext_001960,1657,34,147,78,16,401.3,235,401.3,10.9385,0.0483,2026-06-03 12:51:57
p_ext_001532,758,16,58,13,0,176.4,236,176.4,10.9325,0.0363,2026-06-03 12:51:57
p_ext_001681,871,14,54,52,13,205.0,237,205.0,10.8846,0.0421,2026-06-03 12:51:57
p_ext_000935,606,16,64,10,2,147.2,238,147.2,10.8368,0.046,2026-06-03 12:51:57
p_ext_001580,654,117,8,48,8,177.9,239,177.9,10.7605,0.0895,2026-06-03 12:51:57
p_ext_000513,1294,145,98,51,22,341.9,240,341.9,10.72,0.0723,2026-06-03 12:51:57
2101617209,57,0,0,0,0,0.0,241,11.4,10.6739,0.0,2026-06-03 12:51:57
p_ext_001528,2889,406,244,67,44,786.2,242,786.2,10.3308,0.0796,2026-06-03 12:51:57
p_ext_000209,202,6,10,5,2,46.2,243,46.2,10.3128,0.0319,2026-06-03 12:51:57
p_ext_000279,776,45,8,11,0,173.3,244,173.3,10.2271,0.0284,2026-06-03 12:51:57
p_ext_000186,800,129,37,4,15,210.6,245,210.6,10.2171,0.0683,2026-06-03 12:51:57
p_ext_000283,710,41,42,34,5,173.7,246,173.7,10.2106,0.0533,2026-06-03 12:51:57
p_ext_000724,380,49,42,2,1,103.7,247,103.7,10.1075,0.0796,2026-06-03 12:51:57
p_ext_000516,391,30,43,17,6,103.5,248,103.5,10.075,0.072,2026-06-03 12:51:57
2101607896,54,0,0,0,0,0.0,249,10.8,10.0209,0.0,2026-06-03 12:51:57
p_ext_001887,523,83,31,22,0,143.2,250,143.2,9.9767,0.088,2026-06-03 12:51:57
p_ext_001151,467,83,45,22,1,136.2,251,136.2,9.9502,0.1072,2026-06-03 12:51:57
p_ext_000757,2090,64,237,21,23,512.5,252,512.5,9.7896,0.0461,2026-06-03 12:51:57
p_ext_001462,417,43,5,31,1,104.0,253,104.0,9.7844,0.0652,2026-06-03 12:51:57
p_ext_000462,5903,103,565,57,7,1392.4,254,1392.4,9.6925,0.038,2026-06-03 12:51:57
p_ext_000520,2208,201,47,70,21,530.0,255,530.0,9.6825,0.0474,2026-06-03 12:51:57
p_ext_001420,652,69,29,40,1,167.8,256,167.8,9.6707,0.0715,2026-06-03 12:51:57
p_ext_001311,2956,396,276,143,10,821.4,257,821.4,9.6527,0.0912,2026-06-03 12:51:57
p_ext_001858,639,43,34,25,3,155.9,258,155.9,9.6309,0.0523,2026-06-03 12:51:57
p_ext_000658,747,131,76,20,9,215.5,259,215.5,9.5807,0.0989,2026-06-03 12:51:57
p_ext_000734,659,86,57,26,5,179.9,260,179.9,9.4625,0.0839,2026-06-03 12:51:57
2101576190,48,0,3,0,0,0.0,261,10.5,9.4385,0.0187,2026-06-03 12:51:57
p_ext_000849,219,5,17,0,2,50.4,262,50.4,9.3574,0.0295,2026-06-03 12:51:57
p_ext_001678,1387,55,73,55,15,326.8,263,326.8,9.3222,0.0414,2026-06-03 12:51:57
p_ext_000554,709,77,31,23,1,178.8,264,178.8,9.286,0.0622,2026-06-03 12:51:57
p_ext_001159,422,71,6,30,5,113.5,265,113.5,9.2674,0.0857,2026-06-03 12:51:57
p_ext_001864,4022,200,455,224,29,1045.7,266,1045.7,9.1876,0.0694,2026-06-03 12:51:57
p_ext_001939,1163,74,56,54,0,282.4,267,282.4,9.1732,0.053,2026-06-03 12:51:57
2101518525,56,3,2,0,0,0.0,268,12.7,9.1579,0.0295,2026-06-03 12:51:57
p_ext_000944,1930,60,107,104,10,456.9,269,456.9,9.0869,0.0453,2026-06-03 12:51:57
p_ext_001893,1544,96,110,49,16,380.4,270,380.4,9.0712,0.0522,2026-06-03 12:51:57
p_ext_000134,450,29,43,7,3,113.0,271,113.0,9.0185,0.0553,2026-06-03 12:51:57
p_ext_001848,4160,85,221,140,20,951.8,272,951.8,8.9511,0.0339,2026-06-03 12:51:57
p_ext_000474,1847,31,169,101,2,449.6,273,449.6,8.9406,0.0522,2026-06-03 12:51:57
p_ext_001239,4906,711,396,229,80,1359.1,274,1359.1,8.9127,0.088,2026-06-03 12:51:57
