behavior_id,user_id,post_id,action_type,action_weight,timestamp,dwell_time,time_period,location,device_type,scene,is_positive,source
b00019499,u_ext_00251,p_ext_000830,skip,-1,2025-12-04 17:12:57,8,下午,校外,tablet,普通浏览,0,expanded
b00000573,eEtTZWJaYlExWHFJemFxWGhZdW9yb3ZNZjJtUW5vU0VpbzJXaEltbHVkQ3pvbzJ5bGRISmc1YTZ0c3VNak5LR2xMZVdyb1ZrbnBtSGlXSjI=,p_ext_000848,skip,-1,2025-12-04 17:47:57,8,下午,教学区,tablet,晚间学习,0,expanded
b00008409,u_ext_00276,p_ext_000276,skip,-1,2025-12-04 17:51:57,1,下午,教学区,mobile,开学季,0,expanded
b00020634,u_ext_00326,p_ext_000828,skip,-1,2025-12-04 18:16:57,4,晚上,图书馆,mobile,毕业季,0,expanded
b00008503,u_ext_00381,p_ext_001823,skip,-1,2025-12-04 18:25:57,5,晚上,图书馆,tablet,毕业季,0,expanded
b00004291,c3BDRWE1YmRzNmFXdDVqWmlxUE9nWWpQZUg2RmVKNktsNHQ4azRlUXg5YXpmYUtyaEttcmZaT1NxcGVFcjdSOGc3YWFnSTJjYjJtWHIySjI=,p_ext_000928,skip,-1,2025-12-04 18:29:57,5,晚上,教学区,mobile,午餐时间,0,expanded
b00022385,u_ext_00209,p_ext_000504,skip,-1,2025-12-04 18:32:57,8,晚上,图书馆,mobile,午餐时间,0,expanded
b00026113,u_ext_00411,p_ext_001449,skip,-1,2025-12-04 18:34:57,7,晚上,食堂区,tablet,晚间学习,0,expanded
b00020632,u_ext_00446,p_ext_001762,expose,0,2025-12-04 18:36:57,0,晚上,食堂区,tablet,开学季,0,expanded
b00021854,cjdLWGpuK1V5R2VTcWNpdWwzcXduWWVTcG95T2hwNXJpWXQ0Zkl5Tng3aTJmbzF1aExpYWJJUzUxNWFXWjgxcGxiZUloSnVGZjJ1SmlXSjI=,p_ext_000785,skip,-1,2025-12-04 18:51:57,8,晚上,教学区,mobile,普通浏览,0,expanded
b00023626,u_ext_00329,p_ext_000681,skip,-1,2025-12-04 18:56:57,8,晚上,图书馆,tablet,毕业季,0,expanded
b00006609,dXFLSmlwYW5zNnlVa3FxM2xtVzRycGE0ZDIyT2VZeG9sMmlBb1psOG05N0RrSWh1Z2Flam9aV1UwTmlVcjZPdGk2aWhzSnQ1Z0hxRmlXSjI=,p_ext_000383,view,1,2025-12-04 19:08:57,115,晚上,教学区,mobile,午餐时间,1,expanded
b00003392,u_ext_00158,p_ext_000463,skip,-1,2025-12-04 19:12:57,4,晚上,教学区,mobile,午餐时间,0,expanded
b00016433,u_ext_00388,2101110140,skip,-1,2025-12-04 19:22:57,3,晚上,宿舍区,mobile,午餐时间,0,expanded
b00020466,u_ext_00214,p_ext_000418,skip,-1,2025-12-04 19:49:57,1,晚上,图书馆,tablet,毕业季,0,expanded
b00016364,u_ext_00462,2101110140,skip,-1,2025-12-04 19:50:57,3,晚上,图书馆,pc,开学季,0,expanded
b00016277,dFd0MWZJbXFxNnVFcDZuWGdhQ3ZxNU9uZUlxUnE0eCtobjJFZ1p1bnZhNnlhSG1xbDZpV25vZTJ6NUtJWjZlc2tyZUFib2hobm4rSWlXSjI=,p_ext_000373,skip,-1,2025-12-04 20:09:57,5,晚上,教学区,tablet,普通浏览,0,expanded
b00009667,u_ext_00109,p_ext_001338,skip,-1,2025-12-04 20:42:57,8,晚上,宿舍区,pc,普通浏览,0,expanded
b00016970,u_ext_00426,2101556378,skip,-1,2025-12-04 20:43:57,3,晚上,宿舍区,pc,考试周,0,expanded
b00016027,u_ext_00303,p_ext_000398,expose,0,2025-12-04 21:07:57,0,晚上,食堂区,tablet,晚间学习,0,expanded
b00004810,u_ext_00440,p_ext_001887,skip,-1,2025-12-04 21:12:57,1,晚上,教学区,tablet,开学季,0,expanded
b00022580,u_ext_00167,p_ext_000245,skip,-1,2025-12-04 21:13:57,7,晚上,校外,tablet,普通浏览,0,expanded
b00029558,dEthZmJaT29zMmlHcXNpWGpZdWpxNVROWTdDUmVLMnVtS0dXa0l5bXFicTFwbmx0aGJpdmpwUzRxWlNFWmJ5RGk4Mk1ocGgybW5xSGlXSjI=,p_ext_001194,skip,-1,2025-12-04 21:51:57,6,晚上,教学区,pc,毕业季,0,expanded
b00021281,u_ext_00233,p_ext_002000,view,1,2025-12-04 22:09:57,55,晚上,校外,pc,开学季,1,expanded
b00024520,u_ext_00462,p_ext_001207,skip,-1,2025-12-04 22:11:57,3,晚上,图书馆,tablet,毕业季,0,expanded
b00021452,u_ext_00150,p_ext_001524,skip,-1,2025-12-04 22:18:57,6,晚上,宿舍区,mobile,普通浏览,0,expanded
b00027173,u_ext_00117,p_ext_000421,skip,-1,2025-12-04 22:28:57,3,晚上,教学区,pc,开学季,0,expanded
b00007892,u_ext_00481,p_ext_001131,expose,0,2025-12-04 22:28:57,0,晚上,食堂区,mobile,午餐时间,0,expanded
b00005283,u_ext_00396,p_ext_000475,skip,-1,2025-12-04 22:37:57,3,晚上,宿舍区,tablet,晚间学习,0,expanded
b00021270,u_ext_00283,p_ext_001438,skip,-1,2025-12-04 23:25:57,3,深夜,食堂区,tablet,午餐时间,0,expanded
b00025677,u_ext_00405,p_ext_000488,skip,-1,2025-12-04 23:26:57,7,深夜,食堂区,tablet,午餐时间,0,expanded
b00008569,u_ext_00252,p_ext_001765,skip,-1,2025-12-04 23:28:57,6,深夜,食堂区,mobile,毕业季,0,expanded
b00017927,u_ext_00334,p_ext_000244,view,1,2025-12-04 23:32:57,111,深夜,宿舍区,mobile,午餐时间,1,expanded
b00029635,u_ext_00231,p_ext_000240,skip,-1,2025-12-04 23:35:57,2,深夜,宿舍区,tablet,午餐时间,0,expanded
b00024337,u_ext_00449,p_ext_001587,expose,0,2025-12-04 23:48:57,0,深夜,宿舍区,pc,午餐时间,0,expanded
b00027310,u_ext_00243,p_ext_001164,expose,0,2025-12-04 23:58:57,0,深夜,校外,tablet,开学季,0,expanded
b00029768,u_ext_00423,p_ext_001549,skip,-1,2025-12-04 23:58:57,4,深夜,教学区,tablet,开学季,0,expanded
b00006360,u_ext_00136,p_ext_001664,skip,-1,2025-12-05 00:02:57,7,深夜,教学区,mobile,晚间学习,0,expanded
b00027373,u_ext_00218,p_ext_000351,skip,-1,2025-12-05 00:08:57,7,深夜,宿舍区,mobile,午餐时间,0,expanded
b00029221,u_ext_00308,p_ext_001307,expose,0,2025-12-05 00:17:57,0,深夜,校外,mobile,晚间学习,0,expanded
b00027189,u_ext_00378,p_ext_001284,like,2,2025-12-05 00:18:57,42,深夜,食堂区,pc,晚间学习,1,expanded
b00028296,u_ext_00240,p_ext_001390,skip,-1,2025-12-05 00:43:57,6,深夜,图书馆,tablet,普通浏览,0,expanded
b00018878,u_ext_00127,p_ext_000196,dislike,-2,2025-12-05 00:45:57,4,深夜,图书馆,tablet,毕业季,0,expanded
b00002378,u_ext_00280,p_ext_001117,skip,-1,2025-12-05 00:55:57,2,深夜,图书馆,mobile,开学季,0,expanded
b00029460,u_ext_00438,2101582125,skip,-1,2025-12-05 00:58:57,4,深夜,教学区,mobile,毕业季,0,expanded
b00028420,d24rcmJvQzN4R2w4bEpuSmlaK3NncE9TaElHQ1k1cHVpWDJoc1lPUHJiTzdmWnVIakxuTmwzN05uYzJZZkxoOGhaS01yWTJyaktxRGVXSjI=,p_ext_000939,skip,-1,2025-12-05 01:04:57,4,深夜,教学区,mobile,晚间学习,0,expanded
b00010939,u_ext_00136,p_ext_001186,skip,-1,2025-12-05 01:16:57,8,深夜,教学区,mobile,毕业季,0,expanded
b00023809,d29DSWJJelBvNHlGemN2WGluck5xNWJPaEthWlk1Q29ncU9NZ3BlTng2KzdnSnB0aDZldXI0ZTQxTmlDZkp1ZmhOQjhtWW1maDZxRGVXSjI=,p_ext_000810,skip,-1,2025-12-05 01:17:57,2,深夜,教学区,mobile,考试周,0,expanded
b00018731,u_ext_00106,2101110140,skip,-1,2025-12-05 01:21:57,6,深夜,教学区,pc,午餐时间,0,expanded
b00011500,u_ext_00442,p_ext_001840,skip,-1,2025-12-05 01:25:57,5,深夜,食堂区,pc,考试周,0,expanded
b00027998,u_ext_00480,2101533358,skip,-1,2025-12-05 01:33:57,6,深夜,教学区,tablet,考试周,0,expanded
b00015334,u_ext_00254,p_ext_000228,skip,-1,2025-12-05 01:36:57,2,深夜,图书馆,mobile,毕业季,0,expanded
b00009512,czQrRmdaV3IwWW1FcHNpa2xwK2tycFduZUt1WVpKcUFqb2w4ajQyT25LeTRqWmVUZnBQVWFuK1NzdEdHbjg1K2k4MkVzSm1GaUhxRmlXSjI=,p_ext_001788,view,1,2025-12-05 01:57:57,115,深夜,教学区,mobile,开学季,1,expanded
b00018094,dzR1bXNvZW5zNjJTcU5TbW1IeW9qSVM2ZUtLSWhvQnRnNHFpajVxbHRhdkRpMngrazVPV2JJYVRxcktYakxoL2xkQ1dpNXgzZzJpWHIySjI=,p_ext_001409,skip,-1,2025-12-05 02:01:57,3,深夜,教学区,tablet,普通浏览,0,expanded
b00025545,u_ext_00436,p_ext_000942,skip,-1,2025-12-05 02:05:57,2,深夜,宿舍区,mobile,普通浏览,0,expanded
b00008715,u_ext_00436,p_ext_000398,skip,-1,2025-12-05 02:07:57,1,深夜,宿舍区,pc,晚间学习,0,expanded
b00011864,u_ext_00320,p_ext_000408,skip,-1,2025-12-05 02:09:57,2,深夜,校外,tablet,晚间学习,0,expanded
b00013773,dzR1bXNvZW5zNjJTcU5TbW1IeW9qSVM2ZUtLSWhvQnRnNHFpajVxbHRhdkRpMngrazVPV2JJYVRxcktYakxoL2xkQ1dpNXgzZzJpWHIySjI=,p_ext_000155,skip,-1,2025-12-05 02:29:57,3,深夜,教学区,tablet,考试周,0,expanded
b00024474,u_ext_00397,2101506146,skip,-1,2025-12-05 02:34:57,7,深夜,教学区,pc,考试周,0,expanded
b00015174,dG9DanFaZlJ0bWFMcHJLV2dHZXdqSk9tZ0tpTFpJQ0VtR2VxcElTTno3N0RnSDJ0aGFxVnFIN1Fxc3lWZXM2R2hicUlySXVyaUkrSGlXSjI=,p_ext_000920,skip,-1,2025-12-05 02:51:57,7,深夜,教学区,mobile,晚间学习,0,expanded
b00016417,dzR1bXNvZW5zNjJTcU5TbW1IeW9qSVM2ZUtLSWhvQnRnNHFpajVxbHRhdkRpMngrazVPV2JJYVRxcktYakxoL2xkQ1dpNXgzZzJpWHIySjI=,p_ext_001832,expose,0,2025-12-05 02:59:57,0,深夜,教学区,mobile,毕业季,0,expanded
b00003459,u_ext_00346,p_ext_000399,skip,-1,2025-12-05 03:02:57,8,深夜,图书馆,pc,普通浏览,0,expanded
b00000836,u_ext_00496,p_ext_000245,skip,-1,2025-12-05 03:25:57,7,深夜,宿舍区,mobile,晚间学习,0,expanded
b00029057,cjMrRms1ZXJyNE4vcWR2YWlJdktySkxjbHFlTG5hYXJpNkdpajVxbTA2KzFrSFd6bHMrN281UFF0cTZJZTZTRGdMcUxhWkNkZkdpQ2VXSjI=,p_ext_001593,skip,-1,2025-12-05 03:46:57,1,深夜,教学区,pc,晚间学习,0,expanded
b00015481,u_ext_00351,p_ext_000507,skip,-1,2025-12-05 03:51:57,2,深夜,校外,mobile,毕业季,0,expanded
b00028124,u_ext_00247,p_ext_000990,skip,-1,2025-12-05 04:13:57,4,深夜,宿舍区,mobile,开学季,0,expanded
b00023179,cjdLWGpuK1V5R2VTcWNpdWwzcXduWWVTcG95T2hwNXJpWXQ0Zkl5Tng3aTJmbzF1aExpYWJJUzUxNWFXWjgxcGxiZUloSnVGZjJ1SmlXSjI=,p_ext_001799,view,1,2025-12-05 04:29:57,57,深夜,教学区,mobile,午餐时间,1,expanded
b00021686,czMxb2s1V3ExWWFIemN5bWhLR29wWWVTaktDSllXdDdpcUJqYnBta3RaYXVqMzE4bFphcmZuMlR6OW1XcjdDQWs3cUltWWlJWnJDWHIySjI=,p_ext_000483,view,1,2025-12-05 04:31:57,13,深夜,教学区,tablet,午餐时间,1,expanded
b00022481,u_ext_00472,2101513711,skip,-1,2025-12-05 04:34:57,7,深夜,食堂区,tablet,午餐时间,0,expanded
b00029623,u_ext_00386,p_ext_000535,skip,-1,2025-12-05 04:36:57,7,深夜,图书馆,mobile,开学季,0,expanded
b00024436,u_ext_00170,p_ext_001572,skip,-1,2025-12-05 04:48:57,8,深夜,食堂区,tablet,考试周,0,expanded
b00022532,u_ext_00373,2101110140,skip,-1,2025-12-05 04:54:57,2,深夜,食堂区,tablet,晚间学习,0,expanded
b00006498,u_ext_00338,2101557408,skip,-1,2025-12-05 04:58:57,8,深夜,宿舍区,tablet,毕业季,0,expanded
b00029440,u_ext_00387,p_ext_000491,like,2,2025-12-05 04:59:57,144,深夜,宿舍区,tablet,普通浏览,1,expanded
b00027714,u_ext_00160,p_ext_000426,expose,0,2025-12-05 05:04:57,0,早上,教学区,pc,普通浏览,0,expanded
b00015879,u_ext_00205,p_ext_001288,skip,-1,2025-12-05 05:18:57,5,早上,图书馆,tablet,普通浏览,0,expanded
b00011539,u_ext_00469,p_ext_000925,expose,0,2025-12-05 05:23:57,0,早上,食堂区,tablet,考试周,0,expanded
b00024212,dXFWamFaUzQwV2VEdUxHU2w2T3paMytWb3BDYmlHdURoNHlkcTRtUHg2eXlwSUdMaEtxbnFZZTNyWlNHaXB1dGhLaWlnNE5rbm9HQmVXSjI=,p_ext_001507,skip,-1,2025-12-05 05:24:57,8,早上,教学区,pc,普通浏览,0,expanded
b00024696,u_ext_00437,p_ext_000746,skip,-1,2025-12-05 05:27:57,7,早上,食堂区,tablet,毕业季,0,expanded
b00013384,u_ext_00421,p_ext_001285,skip,-1,2025-12-05 05:33:57,8,早上,宿舍区,pc,考试周,0,expanded
b00013433,eHFPRWJaV25xMnFUemE2bmxtYW5aSmFxZktXWllZaUJtWitJZll0K25OU3Zmbld3aDgydmlZWGNwWkdLbjhhaGg1S2VpSnRqZklHT3IySjI=,p_ext_001958,skip,-1,2025-12-05 05:33:57,3,早上,教学区,tablet,晚间学习,0,expanded
b00025809,u_ext_00304,p_ext_000940,skip,-1,2025-12-05 05:41:57,7,早上,教学区,mobile,晚间学习,0,expanded
b00028670,u_ext_00203,p_ext_000918,skip,-1,2025-12-05 05:57:57,7,早上,校外,pc,开学季,0,expanded
b00006742,u_ext_00299,p_ext_000498,skip,-1,2025-12-05 06:38:57,1,早上,教学区,tablet,毕业季,0,expanded
b00001640,u_ext_00307,p_ext_000709,view,1,2025-12-05 06:50:57,77,早上,宿舍区,pc,毕业季,1,expanded
b00000154,u_ext_00223,p_ext_000267,skip,-1,2025-12-05 06:54:57,1,早上,校外,tablet,午餐时间,0,expanded
b00000868,cjZGc2lJdTZwNCtGcWFxMWhwL0daWCtUaEtPYm5tYXZncTkwcDRGc3JKdkRvb2h0bEpXV29vVFFydGlKbjZpTmhKT2llcHRqbm51QmVXSjI=,p_ext_000408,skip,-1,2025-12-05 07:18:57,2,早上,教学区,pc,晚间学习,0,expanded
b00001916,u_ext_00228,p_ext_000261,skip,-1,2025-12-05 07:21:57,6,早上,校外,tablet,考试周,0,expanded
b00004807,dzJxanFaZXB4WWVWdWEzVGphRzBvWDNjZElxUW5xNTZtS0dlYklTQXg4ZkVwWDJRaHRDVmEzNnAxSk9JZWJDS2hxbVdyNXFjb29PRGVXSjI=,p_ext_001003,comment,3,2025-12-05 07:33:57,205,早上,教学区,pc,毕业季,1,expanded
b00018790,u_ext_00254,p_ext_000852,dislike,-2,2025-12-05 07:45:57,4,早上,图书馆,mobile,普通浏览,0,expanded
b00006168,u_ext_00480,2101562016,view,1,2025-12-05 07:51:57,79,早上,教学区,mobile,开学季,1,expanded
b00007525,u_ext_00373,p_ext_000782,skip,-1,2025-12-05 08:02:57,3,早上,食堂区,pc,午餐时间,0,expanded
b00000823,u_ext_00467,p_ext_001634,expose,0,2025-12-05 08:02:57,0,早上,宿舍区,mobile,毕业季,0,expanded
b00017730,u_ext_00107,p_ext_000907,view,1,2025-12-05 08:09:57,66,早上,校外,mobile,普通浏览,1,expanded
b00010076,u_ext_00240,p_ext_001121,view,1,2025-12-05 08:21:57,114,早上,图书馆,mobile,开学季,1,expanded
b00019852,u_ext_00206,p_ext_000746,dislike,-2,2025-12-05 08:27:57,15,早上,校外,tablet,午餐时间,0,expanded
b00020475,u_ext_00392,p_ext_000656,dislike,-2,2025-12-05 08:28:57,14,早上,图书馆,tablet,晚间学习,0,expanded
b00001210,u_ext_00349,p_ext_000746,skip,-1,2025-12-05 08:32:57,5,早上,教学区,mobile,考试周,0,expanded
b00029838,czMxb2s1V3ExWWFIemN5bWhLR29wWWVTaktDSllXdDdpcUJqYnBta3RaYXVqMzE4bFphcmZuMlR6OW1XcjdDQWs3cUltWWlJWnJDWHIySjI=,p_ext_001494,skip,-1,2025-12-05 08:38:57,6,早上,教学区,mobile,毕业季,0,expanded
b00002402,u_ext_00340,2101589433,skip,-1,2025-12-05 08:38:57,2,早上,宿舍区,mobile,午餐时间,0,expanded
b00018635,c28ybnJJelEwSzZHbExhNWxZM09xSlBOYTRPTmlKQ0lsYUNtallSL3FkbXZrSmVwZzlDM2hYL1BzcytCaTZOcGZ0eUFwWnFmbld1WHIySjI=,p_ext_001245,skip,-1,2025-12-05 08:40:57,5,早上,教学区,mobile,考试周,0,expanded
b00029058,u_ext_00200,p_ext_001633,skip,-1,2025-12-05 08:53:57,3,早上,宿舍区,mobile,午餐时间,0,expanded
b00019480,u_ext_00156,p_ext_001204,expose,0,2025-12-05 08:55:57,0,早上,食堂区,tablet,晚间学习,0,expanded
b00005913,dEk2YnFKVzQyR2lTenE2NmlZM1NmWlRjbXFXTGVKbXZpM3Flc1pkcnZkckZhbm1JaHN5YXNKTzVzdHFOak5hbWhKV2VzcEdGZ0txS2lXSjI=,p_ext_000217,comment,3,2025-12-05 08:57:57,95,早上,教学区,tablet,晚间学习,1,expanded
b00005139,dGFKNGFZQ1QxWWFIMExiUWwyYTRoMzY0bW9lUmVLMXBsNkdMYVkyaTE5T3dmWmVFaGFpV3JwUE4zTGlJcjhxTWk2cWlzcG1Jakh1WHIySjI=,p_ext_000408,skip,-1,2025-12-05 09:00:57,1,早上,教学区,pc,普通浏览,0,expanded
b00018960,u_ext_00180,p_ext_001838,skip,-1,2025-12-05 09:04:57,4,早上,教学区,tablet,毕业季,0,expanded
b00010095,dzQ5OWFZU1Rsb0NBdU5DMGlxR3dpSVMzYXJHR2VZZHBsNHVoYllWK3RjNnprSDJ4aWMzSWE1S21ycmlHaTd1bWZKS0FqNFoyb29lSWlXSjI=,p_ext_000917,skip,-1,2025-12-05 09:07:57,2,早上,教学区,tablet,毕业季,0,expanded
b00008962,u_ext_00170,p_ext_000351,skip,-1,2025-12-05 09:08:57,7,早上,食堂区,pc,晚间学习,0,expanded
b00007727,u_ext_00354,p_ext_001591,skip,-1,2025-12-05 09:09:57,4,早上,宿舍区,pc,开学季,0,expanded
b00019326,dzQrWGhaYTV6V3FGdDlUTGdudW9yb1dUbld5TmhvQnFqbWlJcTQrbXk5SERwcHVobFpYVmdZYXBsYWlHZkp0K2hhcUVlcHVjWnFxRGVXSjI=,p_ext_000813,view,1,2025-12-05 09:12:57,108,早上,教学区,tablet,午餐时间,1,expanded
b00009912,u_ext_00329,p_ext_000454,view,1,2025-12-05 09:15:57,88,早上,图书馆,mobile,开学季,1,expanded
b00024153,dDQ1MWk1ZTN4YkIvazY2MmxYcXdvSU8zZktHWWhxWm9tR2RqYVptUnZhN0NwWTJLaDZlM1pwWE9wcFNNWnJSK2twSnJlcGxpa0krTGlXSjI=,2101602365,view,1,2025-12-05 09:16:57,60,早上,教学区,tablet,考试周,1,expanded
b00004039,u_ext_00144,p_ext_000945,skip,-1,2025-12-05 09:35:57,4,早上,图书馆,mobile,考试周,0,expanded
b00001355,u_ext_00303,p_ext_001671,collect,4,2025-12-05 09:36:57,246,早上,食堂区,tablet,开学季,1,expanded
b00000239,u_ext_00371,2101610306,skip,-1,2025-12-05 09:41:57,2,早上,宿舍区,mobile,午餐时间,0,expanded
b00023149,u_ext_00323,p_ext_000605,dislike,-2,2025-12-05 09:58:57,4,早上,食堂区,pc,普通浏览,0,expanded
b00000439,dzR1bXNvZW5zNjJTcU5TbW1IeW9qSVM2ZUtLSWhvQnRnNHFpajVxbHRhdkRpMngrazVPV2JJYVRxcktYakxoL2xkQ1dpNXgzZzJpWHIySjI=,p_ext_000395,dislike,-2,2025-12-05 10:03:57,5,早上,教学区,mobile,开学季,0,expanded
b00023450,u_ext_00203,p_ext_000199,view,1,2025-12-05 10:06:57,99,早上,校外,pc,午餐时间,1,expanded
b00013662,u_ext_00191,p_ext_001805,skip,-1,2025-12-05 10:07:57,8,早上,宿舍区,tablet,普通浏览,0,expanded
b00018321,u_ext_00161,p_ext_001814,skip,-1,2025-12-05 10:09:57,7,早上,教学区,tablet,毕业季,0,expanded
b00012548,cnFSOW81YVRsckNXdXFiTGhHak5ySWpPbm9tR2lJTnJqb3Q3cjRTUHNOeTRwSFd4ZjdpdnJwUFB0cTJOWjdSbmlzK2VwSkY0b211V3IySjI=,p_ext_001982,view,1,2025-12-05 10:13:57,128,早上,教学区,tablet,普通浏览,1,expanded
b00011050,u_ext_00405,p_ext_001959,dislike,-2,2025-12-05 10:20:57,3,早上,食堂区,tablet,普通浏览,0,expanded
b00022333,u_ext_00402,p_ext_000521,skip,-1,2025-12-05 10:35:57,4,早上,宿舍区,tablet,毕业季,0,expanded
b00021491,u_ext_00391,p_ext_001675,view,1,2025-12-05 10:42:57,84,早上,宿舍区,pc,普通浏览,1,expanded
